Vehicle ID,Charger ID,Date,Charging Time,Average Power,Max Power,Total Energy Delivered,SOC Charged
EV016-EV021,CH001,2019-06-30,0.1833333333333333,9.6,9.6,1.76,9.521001512535811
EV016-EV021,CH001,2019-06-30,0.25,9.6,9.6,2.4,9.738473918587111
EV016-EV021,CH001,2019-06-29,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-06-29,0.1833333333333333,9.6,9.6,1.76,9.521001512535811
EV016-EV021,CH001,2019-06-29,0.2166666666666666,9.6,9.6,2.08,9.62973771556146
EV016-EV021,CH001,2019-06-28,4.466666666666667,9.6,9.6,42.88,23.493603601331863
EV016-EV021,CH001,2019-06-28,1.1666666666666667,9.6,9.6,11.2,12.728719501792492
EV016-EV021,CH001,2019-06-27,3.25,9.6,9.6,31.2,19.52473219089563
EV016-EV021,CH001,2019-06-27,2.0166666666666666,9.6,9.6,19.36,15.50149267894657
EV016-EV021,CH001,2019-06-27,0.95,9.6,9.6,9.12,12.021934182125763
EV016-EV021,CH001,2019-06-26,5.983333333333333,9.6,9.6,57.44,28.441100838998945
EV016-EV021,CH001,2019-06-26,1.3833333333333333,9.6,9.6,13.28,13.43550482145922
EV016-EV021,CH001,2019-06-26,0.0333333333333333,9.6,9.6,0.32,9.031688598920384
EV016-EV021,CH001,2019-06-26,1.8666666666666667,9.6,9.6,17.92,15.012179765331146
EV016-EV021,CH001,2019-06-25,4.233333333333333,9.6,9.6,40.64,22.732450180152316
EV016-EV021,CH001,2019-06-25,0.1666666666666666,9.6,9.6,1.62,9.470845925756244
EV016-EV021,CH001,2019-06-25,2.966666666666667,9.6,9.6,28.55,18.615218266744005
EV016-EV021,CH001,2019-06-25,1.05,9.6,9.6,10.08,12.348142791202717
EV016-EV021,CH001,2019-06-24,7.5,9.6,9.6,72.0,33.38859807666603
EV016-EV021,CH001,2019-06-24,1.6666666666666667,9.6,9.6,16.0,14.359762547177244
EV016-EV021,CH001,2019-06-24,0.0666666666666666,9.6,9.6,0.64,9.140424801946034
EV016-EV021,CH001,2019-06-23,0.15,9.6,9.6,1.44,9.41226530951016
EV016-EV021,CH001,2019-06-23,0.25,9.6,9.6,2.4,9.738473918587111
EV016-EV021,CH001,2019-06-23,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-06-23,0.3,9.6,9.6,2.88,9.901578223125586
EV016-EV021,CH001,2019-06-23,0.2333333333333333,9.6,9.6,2.24,9.684105817074286
EV016-EV021,CH001,2019-06-23,0.1666666666666666,9.6,9.6,1.6,9.466633411022986
